State,Abbrev,Code,latitude,longitude,Population,
Alabama,Ala.,AL,32.7794,-86.8287,3605944,
Alaska,Alaska,AK,64.0685,-152.2782,989948,
Arizona,Ariz.,AZ,34.2744,-111.6602,689545,
Arkansas,Ark.,AR,34.8938,-92.4426,21538187,
California,Calif.,CA,37.1841,-119.4696,10711908,
Colorado,Colo.,CO,38.9972,-105.5478,1455271,
Connecticut,Conn.,CT,41.6219,-72.7273,5024279,
Delaware,Del.,DE,38.9896,-75.505,733391,
Florida,Fla.,FL,32.6415,-83.4426,7151502,
Georgia,Ga.,GA,20.2927,-156.3737,3011524,
Hawaii,Hawaii,HI,44.3509,-114.613,39538223,
Idaho,Idaho,ID,40.0417,-89.1965,5773714,
Illinois,Ill.,IL,39.8942,-86.2816,4657757,
Indiana,Ind.,IN,42.0751,-93.496,1362359,
Iowa,Iowa,IA,38.4937,-98.3804,1084225,
Kansas,Kans.,KS,37.5347,-85.3021,1961504,
Kentucky,Ky.,KY,31.0689,-91.9968,3104614,
Louisiana,La.,LA,45.3695,-69.2428,1377529,
Maine,Maine,ME,39.055,-76.7909,1839106,
Maryland,Md.,MD,42.2596,-71.8083,12812508,
Massachusetts,Mass.,MA,44.3467,-85.4102,6785528,
Michigan,Mich.,MI,46.2807,-94.3053,3190369,
Minnesota,Minn.,MN,32.7364,-89.6678,2937880,
Mississippi,Miss.,MS,38.3566,-92.458,4505836,
Missouri,Mo.,MO,47.0527,-109.6333,3959353,
Montana,Mont.,MT,41.5378,-99.7951,4237256,
Nebraska,Nebr.,NE,39.3289,-116.6312,6177224,
Nevada,Nev.,NV,43.6805,-71.5811,7029917,
New Hampshire,N.H.,NH,40.1907,-74.6728,10077331,
New Jersey,N.J.,NJ,34.4071,-106.1126,5706494,
New Mexico,N.M.,NM,42.9538,-75.5268,6910840,
New York,N.Y.,NY,35.5557,-79.3877,29145505,
North Carolina,N.C.,NC,47.4501,-100.4659,3271616,
North Dakota,N.D.,ND,40.2862,-82.7937,643077,
Ohio,Ohio,OH,35.5889,-97.4943,8631393,
Oklahoma,Okla.,OK,43.9336,-120.5583,7705281,
Oregon,Ore.,OR,40.8781,-77.7996,2961279,
Pennsylvania,Pa.,PA,41.6762,-71.5562,6154913,
Rhode Island,R.I.,RI,33.9169,-80.8964,13002700,
South Carolina,S.C.,SC,44.4443,-100.2263,1097379,
South Dakota,S.D.,SD,35.858,-86.3505,5118425,
Tennessee,Tenn.,TN,31.4757,-99.3312,886667,
Texas,Tex.,TX,39.3055,-111.6703,9288994,
Utah,Utah,UT,44.0687,-72.6658,2117522,
Vermont,Vt.,VT,37.5215,-78.8537,20201249,
Virginia,Va.,VA,47.3826,-120.4472,10439388,
Washington,Wash.,WA,38.6409,-80.6227,779094,
West Virginia,W.Va.,WV,44.6243,-89.9941,11799448,
Wisconsin,Wis.,WI,42.9957,-107.5512,1793716,
Wyoming,Wyo.,WY,,,5893718,
,,,,,576851,
